period_end,fund_code,fund_name,category,category_label,holder_shares,holder_shares_100m,holder_ratio_pct,precision_status,total_shares,report_send_date,official_upload_date,instance_id,holder_table_page,official_pdf_url
2021-12-31,510300,华泰柏瑞沪深300ETF,national_team,国家队（已识别）,2423958601,24.239586,21.374377,lower_bound,11340487690,2022-03-31,2022-03-30,716232,112,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=716232
2021-12-31,510300,华泰柏瑞沪深300ETF,other_institution,其他机构（含保险）,5420896193,54.208962,47.801262,upper_bound,11340487690,2022-03-31,2022-03-30,716232,112,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=716232
2021-12-31,510300,华泰柏瑞沪深300ETF,individual,个人,3014155227,30.141552,26.578709,exact,11340487690,2022-03-31,2022-03-30,716232,112,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=716232
2021-12-31,510310,易方达沪深300ETF,national_team,国家队（已识别）,320000017,3.200000,6.892031,lower_bound,4643043550,2022-03-30,2022-03-29,708976,91,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=708976
2021-12-31,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,929460099,9.294601,20.018337,upper_bound,4643043550,2022-03-30,2022-03-29,708976,91,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=708976
2021-12-31,510310,易方达沪深300ETF,individual,个人,617118289,6.171183,13.291245,exact,4643043550,2022-03-30,2022-03-29,708976,91,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=708976
2021-12-31,510330,华夏沪深300ETF,national_team,国家队（已识别）,2205824871,22.058249,38.299894,lower_bound,5759349828,2022-03-30,2022-03-29,711200,241,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=711200
2021-12-31,510330,华夏沪深300ETF,other_institution,其他机构（含保险）,1186220353,11.862204,20.596428,upper_bound,5759349828,2022-03-30,2022-03-29,711200,241,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=711200
2021-12-31,510330,华夏沪深300ETF,individual,个人,225359013,2.253590,3.912925,exact,5759349828,2022-03-30,2022-03-29,711200,241,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=711200
2021-12-31,159919,嘉实沪深300ETF,national_team,国家队（已识别）,458949872,4.589499,9.984732,lower_bound,4596516676,2022-03-30,2022-03-28,708334,74,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=708334
2021-12-31,159919,嘉实沪深300ETF,other_institution,其他机构（含保险）,1361123159,13.611232,29.612057,upper_bound,4596516676,2022-03-30,2022-03-28,708334,74,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=708334
2021-12-31,159919,嘉实沪深300ETF,individual,个人,453709641,4.537096,9.870728,exact,4596516676,2022-03-30,2022-03-28,708334,74,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=708334
2022-06-30,510300,华泰柏瑞沪深300ETF,national_team,国家队（已识别）,2423958601,24.239586,22.448660,lower_bound,10797787690,2022-08-30,2022-08-30,783460,90,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=783460
2022-06-30,510300,华泰柏瑞沪深300ETF,other_institution,其他机构（含保险）,4009149909,40.091499,37.129364,upper_bound,10797787690,2022-08-30,2022-08-30,783460,90,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=783460
2022-06-30,510300,华泰柏瑞沪深300ETF,individual,个人,3859108403,38.591084,35.739806,exact,10797787690,2022-08-30,2022-08-30,783460,90,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=783460
2022-06-30,510310,易方达沪深300ETF,national_team,国家队（已识别）,370000017,3.700000,6.703049,lower_bound,5519876684,2022-08-30,2022-08-26,779234,110,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=779234
2022-06-30,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,782238975,7.822390,14.171313,upper_bound,5519876684,2022-08-30,2022-08-26,779234,110,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=779234
2022-06-30,510310,易方达沪深300ETF,individual,个人,911843004,9.118430,16.519264,exact,5519876684,2022-08-30,2022-08-26,779234,110,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=779234
2022-06-30,510330,华夏沪深300ETF,national_team,国家队（已识别）,1901702671,19.017027,37.127041,lower_bound,5122149828,2022-08-30,2022-08-29,781393,176,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=781393
2022-06-30,510330,华夏沪深300ETF,other_institution,其他机构（含保险）,811616661,8.116167,15.845235,upper_bound,5122149828,2022-08-30,2022-08-29,781393,176,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=781393
2022-06-30,510330,华夏沪深300ETF,individual,个人,269258005,2.692580,5.256738,exact,5122149828,2022-08-30,2022-08-29,781393,176,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=781393
2022-06-30,159919,嘉实沪深300ETF,national_team,国家队（已识别）,600899472,6.008995,14.226120,lower_bound,4223916676,2022-08-29,2022-08-26,778557,70,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=778557
2022-06-30,159919,嘉实沪深300ETF,other_institution,其他机构（含保险）,885399567,8.853996,20.961577,upper_bound,4223916676,2022-08-29,2022-08-26,778557,70,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=778557
2022-06-30,159919,嘉实沪深300ETF,individual,个人,528027796,5.280278,12.500905,exact,4223916676,2022-08-29,2022-08-26,778557,70,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=778557
2022-12-31,510300,华泰柏瑞沪深300ETF,national_team,国家队（已识别）,2423958601,24.239586,12.309615,lower_bound,19691587690,2023-03-31,2023-03-31,874165,192,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=874165
2022-12-31,510300,华泰柏瑞沪深300ETF,other_institution,其他机构（含保险）,10401921690,104.019217,52.824190,upper_bound,19691587690,2023-03-31,2023-03-31,874165,192,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=874165
2022-12-31,510300,华泰柏瑞沪深300ETF,individual,个人,5720473322,57.204733,29.050341,exact,19691587690,2023-03-31,2023-03-31,874165,192,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=874165
2022-12-31,510310,易方达沪深300ETF,national_team,国家队（已识别）,355000017,3.550000,3.927204,lower_bound,9039510057,2023-03-30,2023-03-29,868777,189,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=868777
2022-12-31,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,2283666628,22.836666,25.263168,upper_bound,9039510057,2023-03-30,2023-03-29,868777,189,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=868777
2022-12-31,510310,易方达沪深300ETF,individual,个人,1387514624,13.875146,15.349445,exact,9039510057,2023-03-30,2023-03-29,868777,189,http://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=868777
