date,code,shares_100m,exchange,source,quality,method
2012-01-04,159915,5.396610,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-05,159915,5.396928,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-06,159915,5.394251,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-09,159915,5.394209,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-10,159915,5.393015,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-11,159915,5.395946,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-12,159915,5.394501,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-13,159915,5.394741,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-16,159915,5.393793,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-17,159915,5.394445,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-18,159915,5.393860,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-19,159915,5.394057,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-20,159915,5.395484,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-30,159915,5.396010,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-01-31,159915,5.396280,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-01,159915,5.394804,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-02,159915,5.393922,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-03,159915,5.394180,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-06,159915,5.393964,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-07,159915,5.394186,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-08,159915,5.394989,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-09,159915,5.394314,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-10,159915,5.393412,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-13,159915,5.394879,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-14,159915,5.392687,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-15,159915,5.395355,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-16,159915,5.393936,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-17,159915,5.395855,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-20,159915,5.397239,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-21,159915,5.394762,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-22,159915,5.393958,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-23,159915,5.394455,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-24,159915,5.395219,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-27,159915,5.394689,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-28,159915,5.394288,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-02-29,159915,5.393078,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-01,159915,5.395256,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-02,159915,5.396629,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-05,159915,5.395699,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-06,159915,5.393598,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-07,159915,5.394067,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-08,159915,5.393179,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-09,159915,5.394668,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-03-12,159915,5.395584,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
