fund_code,fund_name,period_end,report_type,report_send_date,official_upload_date,instance_id,official_pdf_url,source_kind,crosscheck_url,holder_table_page,source_page_numbers,total_shares,comparable_institution_shares,individual_shares,feeder_shares,identified_national_team_shares,identified_national_team_account_count,national_team_status
159915,易方达创业板ETF,2012-06-30,interim,2012-08-24,2012-08-24,manager_official_pdf-159915-2012-06-30,https://cdn.efunds.com.cn/owch/data/2012/08/20120823185835_0_12.pdf,manager_official_pdf,https://www.efunds.com.cn/c/159/159789.shtml,38,38;39,611454936,64714099,294506918,252233919,0,0,not_identified
159915,易方达创业板ETF,2012-12-31,annual,2013-03-30,2013-03-30,manager_official_pdf-159915-2012-12-31,https://cdn.efunds.com.cn/owch/data/2013/03/20130329202202_0_14.pdf,manager_official_pdf,https://www.efunds.com.cn/c/160/160897.shtml,47,47;48,617454936,61487558,296133460,259833918,0,0,not_identified
159919,嘉实沪深300ETF,2012-12-31,annual,2013-03-28,2013-03-28,public_report_mirror-159919-2012-12-31,https://pdf.dfcfw.com/pdf/H2_AN201303270005810030_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=37327536636d2f646a6d453d,50,50;51,16302706477.00,3541718001.00,1756009550.00,11004978926.00,0,0,not_identified
510300,华泰柏瑞沪深300ETF,2012-12-31,annual,2013-03-28,2013-03-28,manager_official_pdf-510300-2012-12-31,https://www.huatai-pb.com/data/20130328145046300.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,55,55;56,9380287690,7933322415,1385865275,61100000,0,0,not_identified
159915,易方达创业板ETF,2013-06-30,interim,2013-08-28,2013-08-28,manager_official_pdf-159915-2013-06-30,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174347_0_16.pdf,manager_official_pdf,https://www.efunds.com.cn/c/161/161683.shtml,40,40;41,615454936,78071506,213159912,324223518,0,0,not_identified
159919,嘉实沪深300ETF,2013-06-30,interim,2013-08-26,2013-08-26,public_report_mirror-159919-2013-06-30,https://pdf.dfcfw.com/pdf/H2_AN201308250004259404_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=535050796f2f4f67646a4d3d,43,43;44,12655006477.00,1523996321.00,1185123426.00,9945886730.00,0,0,not_identified
510300,华泰柏瑞沪深300ETF,2013-06-30,interim,2013-08-26,2013-08-26,manager_official_pdf-510300-2013-06-30,https://www.huatai-pb.com/data/20130826092613300.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,47,47;48,7147387690,6161422496,951278894,34686300,1037778401.00,2,lower_bound
510310,易方达沪深300ETF,2013-06-30,interim,2013-08-28,2013-08-28,manager_official_pdf-510310-2013-06-30,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174439_0_26.pdf,manager_official_pdf,https://www.efunds.com.cn/c/161/161693.shtml,46,46,10159792154.07,3168337516.17,6991454637.90,0,0,0,not_identified
510330,华夏沪深300ETF,2013-06-30,interim,2013-08-26,2013-08-26,public_report_mirror-510330-2013-06-30,https://pdf.dfcfw.com/pdf/H2_AN201308260004263712_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201308260004263712.html",45,45;46,8474649828,919031141,30254809,7525363878,774276360,1,lower_bound
159915,易方达创业板ETF,2013-12-31,annual,2014-03-28,2014-03-28,manager_official_pdf-159915-2013-12-31,https://cdn.efunds.com.cn/owch/data/2014/03/20140327202729_0_16.pdf,manager_official_pdf,https://www.efunds.com.cn/c/162/162649.shtml,47,47;48,863454936,93734889,255884433,513835614,0,0,not_identified
